!WOW!|Mills Novelty Company|March, 1932|1|ME|Unknown
Baffle-Card|D. Gottlieb &amp; Company|October, 1946|1|EM|Unknown
Bagatelle||1995|1|EM|Sports - Pinball
Bagatelle Table|Unknown Manufacturer|Unknown|1|ME|Unknown
Bagatelle Table|The Brunswick-Balke-Collender Company|Unknown|1|ME|Unknown
Bagatello|Exhibit Supply Company|1936|1|EM|Unknown
Bagdad|Dallas Novelty Sales Company Incorporated|November, 1932|2|ME|Unknown
Bahama Beach|Bally Manufacturing Corporation|Unknown|1|EM|Recreation
Balance|Mills Novelty Company|September, 1935|1|EM|Unknown
Bali|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Bali-Hi|Bally Manufacturing Corporation|1973|4|EM|World Places
Balito|Unknown Manufacturer|Unknown|1|ME|Poker
Ball Fan Series of 1937|Stoner Manufacturing Company|July, 1937|1|EM|Sports - Baseball
Ball Game|Pacific Amusement Manufacturing Company|1937|1|EM|Sports - Baseball
Ball Park|Chicago Coin Machine Manufacturing Company|June 15, 1937|1|EM|Sports - Baseball
Ball Park|Williams Electronics, Incorporated|February, 1968|2|EM|Sports - Baseball
Ball Park|Bally Manufacturing Corporation|Unknown|2|EM|Sports - Baseball
Ball Pool|Renato Montanari Giochi|Unknown|1|EM|Billiards
Ball Shooter|Gatter Novelty Company|September, 1926|1|ME|Unknown
Ball Shooter Gum Vender|Gatter Novelty Company|September, 1926|1|ME|Unknown
Ball-Quet|Carnival Supply Company|February, 1932|1|ME|Unknown
Ballerina|Bally Manufacturing Corporation|Unknown|1|EM|Ballet
Ballerina|Bally Manufacturing Corporation|February, 1948|1|EM|Ballet
Ballota-Acht|Ballota GmbH|July, 1933|1|Unknown|Unknown
Ballota-Baby|Ballota GmbH|July, 1933|1|Unknown|Unknown
Ballota-Ball|Ballota GmbH|July, 1933|1|ME|Unknown
Ballota-Rekord|Ballota GmbH|September, 1934|1|Unknown|Unknown
Balls-A-Poppin|Bally Manufacturing Corporation|Unknown|2|EM|Happiness - Circus/Carnival
Bally Arcade|Bally Manufacturing Corporation|Unknown|1|EM|Carnival - Shooting Gallery
Bally Beauty|Bally Manufacturing Corporation|Unknown|1|EM|Girls - Glamour - Pageantry - Women
Bally Bonus|Bally Manufacturing Corporation|February, 1936|1|EM|Unknown
Bally Bonus|Bally Manufacturing Corporation|February, 1936|1|EM|Unknown
Bally Booster|Bally Manufacturing Corporation|March, 1937|1|EM|Sports - Baseball
Bally Derby|Bally Manufacturing Corporation|February, 1960|5|EM|Sports - Horse Racing
Bally Derby|Bally Manufacturing Corporation|December, 1935|1|EM|Horse Racing - Payout
Bally Derby|Bally Manufacturing Corporation|November, 1935|1|EM|Sports - Horse Racing
Bally Entry|Bally Manufacturing Corporation|February, 1938|1|EM|Unknown
Bally Entry|Bally Manufacturing Corporation|Unknown|1|EM|Sports - Horse Racing
Bally Hoo|Bally Manufacturing Corporation|October, 1969|4|EM|Circus - Carnival - Music
Bally Reserve|Bally Manufacturing Corporation|May, 1938|1|EM|Unknown
Bally Reserve Jr.|Bally Manufacturing Corporation|May, 1938|1|EM|Unknown
Bally Rocket|Bally Manufacturing Corporation|Unknown|1|EM|Space Age
Bally Royal|Bally Manufacturing Corporation|February, 1939|1|EM|Unknown
Bally Stables|Bally Manufacturing Corporation|November, 1937|1|EM|Unknown
Bally Stables|Bally Manufacturing Corporation|November, 1937|1|EM|Horse Racing
Bally Supreme|Bally Manufacturing Corporation|February, 1939|1|EM|City Scene
Ballyhoo|Bally Manufacturing Corporation|Unknown|1|EM|Ecdysiast Entertainment - Girls - Women
Ballyhoo|Bally Manufacturing Corporation|January, 1932|1|ME|Unknown
Ballyhoo|Rock-ola Manufacturing Corporation|February, 1932|1|ME|Unknown
Ballyround|Bally Manufacturing Corporation|April, 1932|1|ME|Unknown
Ballyview|Bally Manufacturing Corporation|October, 1938|1|EM|Unknown
Bambino|Bally Manufacturing Corporation|June, 1938|1|EM|Unknown
Bambino|Exhibit Supply Company|June, 1936|1|EM|Sports - Baseball
Bamboo|Bally Manufacturing Corporation|Unknown|1|EM|World Places
Band Leader|J. H. Keeney and Company Incorporated|November, 1948|1|EM|Music - Singing - Dancing
Band Wagon|Genco Manufacturing Company|September, 1940|1|EM|Unknown
Band Wagon|Williams Manufacturing Company|May 16, 1955|4|EM|Unknown
Band Wagon|Bally Manufacturing Corporation|March, 1965|4|EM|Circus/Carnival
Bang|Genco Manufacturing Company|August, 1939|1|EM|Unknown
Bang! Bang!|Recel S. A.|1974|2|EM|Cops and Robbers
Banjo|Exhibit Supply Company|March, 1948|1|EM|American History - Dancing - Music - Singing
Banjo|Buckley Manufacturing Company|1936|1|EM|Unknown
Bank A Ball|United Manufacturing Company (Diversey)|April, 1933|1|ME|Unknown
Bank Nite|Rock-ola Manufacturing Corporation|September, 1936|1|EM|Unknown
Bank Shot|Lindstrom Tool and Toy Company|Unknown|1|ME|Unknown
Bank Shot|D. Gottlieb &amp; Company|March, 1976|1|EM|Unknown
Bank-A-Ball|D. Gottlieb &amp; Company|May, 1950|1|EM|Billiards
Bank-A-Ball|United Profit Sales Company|February, 1933|1|ME|Unknown
Bank-A-Ball|General Novelty Manufacturing Company|February, 1933|1|ME|Unknown
Bank-A-Ball|D. Gottlieb &amp; Company|September, 1965|1|EM|Billiards
Bank-A-Shot|General Novelty Manufacturing Company|February, 1933|1|ME|Unknown
Banker|Bally Manufacturing Corporation|July, 1935|1|EM|Poker
Bankum|J. F. Thomas|Unknown|1|ME|Playing Cards
Banner|Bingo Novelty Manufacturing Company|1932|1|Unknown|Unknown
Banner|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Banzai Run|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|May, 1988|4|SS|Sports - Motorcycles/Motocross
Barb Wire|Premier Technology|April, 1996|4|SS|Unknown
Barbarella||Unknown|1|EM|Fantasy - Outer Space - Science Fiction
Barnacle Bill|D. Gottlieb &amp; Company|August, 1948|1|EM|Unknown
Barracora|Williams Electronics, Incorporated|September, 1981|4|SS|Fantasy
Barrage|Western Products, Incorporated|May, 1941|1|EM|Unknown
Barrel O’ Fun|Bally Manufacturing Corporation|September, 1960|1|EM|Amusement Park - Carnival
Barrel O’ Fun ‘61|Bally Manufacturing Corporation|Unknown|1|EM|Amusement Park - Carnival
Barrel O’ Fun ‘62|Bally Manufacturing Corporation|Unknown|1|EM|Amusement Park - Carnival - Roller Coasters
Barrel Roll|Allied Amusement Company|February, 1935|1|EM|Unknown
Base Hit|Williams Electronics, Incorporated|April, 1967|2|EM|Sports - Baseball
Base Hit|Genco Manufacturing Company|1935|1|EM|Sports - Baseball
Base Hit|Chicago Coin Machine Manufacturing Company|May 29, 1935|1|EM|Sports - Baseball
Baseball|Victory Games|July, 1945|1|EM|Sports - Baseball
Baseball|Genco Manufacturing Company|June, 1935|1|EM|Sports - Baseball
Baseball|Atlas Indicator Works Incorporated|1931|1|EM|Sports - Baseball
Baseball|Western Equipment &amp; Supply Company|1938|1|EM|Sports - Baseball
Baseball|Great States Manufacturing Company|May, 1932|1|ME|Sports - Baseball
Baseball|Stoner Manufacturing Company|February, 1940|1|EM|Sports - Baseball
Baseball|Lindstrom Tool and Toy Company|Unknown|1|ME|Sports - Baseball
Baseball|Victory Games|July, 1945|1|EM|Sports - Baseball
Baseball|Marvel Manufacturing Company|September, 1944|1|EM|Sports - Baseball
Baseball|D. Gottlieb &amp; Company|June, 1970|1|EM|Sports - Baseball
Baseball|Daval Mfg Company Incorporated, G.B.|April, 1937|1|EM|Sports - Baseball
Baseball|O. D. Jennings and Company|May, 1936|1|EM|Sports - Baseball
Baseball|Bally Manufacturing Corporation|1936|1|EM|Unknown
Baseball|Chicago Coin Machine Manufacturing Company|October 01, 1947|1|EM|Sports - Baseball
Baseball|Genco Manufacturing Company|Unknown|1|EM|Sports - Baseball
Baseball 1939|Western Products, Incorporated|1939|1|EM|Sports - Baseball
Baseball Champ|Chicago Coin Machine Manufacturing Company|1973|2|EM|Sports - Baseball
Baseball Pitch|Exhibit Supply Company|August, 1957|1|EM|Sports - Baseball
Baseball Pool|Genco Manufacturing Company|1956|2|EM|Sports - Baseball
Basket|Dama S.R.L.|Unknown|1|EM|Sports - Basketball
Basket Ball|Manufacturas Automaticas Americanas|1966|1|EM|Unknown
Basket World Trotter|Giuliano Lodola|August, 1979|4|SS|Sports - Basketball
Basketball|Chicago Coin Machine Manufacturing Company|January 02, 1947|1|EM|Sports - Basketball
Basketball|Exhibit Supply Company|February, 1938|1|EM|Sports - Basketball
Basketball|D. Gottlieb &amp; Company|October, 1949|1|EM|Sports - Basketball
Basketball|Ideas y Diseños, Sociedad Anónima|1986|4|SS|Sports - Basketball
Basketball Champ|Chicago Coin Machine Manufacturing Company|October, 1949|1|EM|Sports - Basketball
Bat and Ball|United Manufacturing Company|1955|2|EM|Sports - Baseball
Bat-A-Ball|American Amusement Company|1946|1|ME|Sports - Baseball
Bat-A-Score|H. C. Evans &amp; Company|December, 1948|1|EM|Sports - Baseball
Bat-Em|In and Outdoor Games Company|April, 1932|1|ME|Sports - Baseball
Batman|Stern Pinball, Incorporated|July 21, 2008|4|SS|Licensed Theme - Movie - Superhero
Batman|Data East Pinball, Incorporated|July, 1991|4|SS|Celebrities - Fictional - Licensed Theme
Batman (Standard Model)|Stern Pinball, Incorporated|2010|4|SS|Licensed Theme - Movie - Superhero
Batman Forever|Sega Pinball, Incorporated|July, 1995|6|SS|Celebrities - Fictional - Licensed Theme
Batter Up|D. Gottlieb &amp; Company|August, 1970|1|EM|Sports - Baseball
Batter Up|Exhibit Supply Company|June, 1935|1|EM|Unknown
Batter Up|Chicago Coin Machine Manufacturing Company|April, 1958|1|EM|Sports - Baseball
Batter Up|Genco Manufacturing Company|April, 1937|1|EM|Sports - Baseball
Batting|Unknown Manufacturer|Unknown|1|EM|Sports - Baseball
Batting Champ|Williams Electronic Manufacturing Company|May, 1961|1|EM|Unknown
Batting Champ|D. Gottlieb &amp; Company|July, 1939|1|EM|Sports - Baseball
Batting Practice|Bally Manufacturing Corporation|August, 1959|2|EM|Sports - Baseball
Batting Practice|Irving Kaye Co. Inc.|Unknown|1|EM|Sports - Baseball
Batting Practice|Scientific Machine Corporation|1941|1|EM|Sports - Baseball
Battle|Sullivan-Nolan Advertising Company [WWII Conversions Only]|June, 1942|1|EM|Aviation - Combat - Military - Historical - Wartime - Warfare
Battle|Bally Manufacturing Corporation|November, 1935|1|EM|Aviation - Combat - Military - Historical - Wartime - Warfare - World War I
Battle of the Gods|Coleco Industries, Inc.|Unknown|1|Unknown|Unknown
Battleship|Bally Manufacturing Corporation|June, 1934|1|ME|Unknown
Baywatch|Sega Pinball, Incorporated|February, 1995|6|SS|Celebrities - Fictional - Licensed Theme
Bazaar|Nate Schneller Incorporated|April, 1949|1|EM|Unknown
Bazaar|Exhibit Supply Company|July, 1937|1|EM|Amusement Park - Carnival - Roller Coasters
Bazaar|Bally Manufacturing Corporation|October, 1966|1|EM|World Places
Be-Bop|Exhibit Supply Company|March, 1950|1|EM|Music - High School
Beach Beauty|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Beach Club|Bally Manufacturing Corporation|Unknown|1|EM|Beach
Beach Club|Nate Schneller Incorporated|July, 1949|1|EM|Unknown
Beach Games|Rally a.k.a. Rally Play Company|1962|2|EM|Unknown
Beach Queens|Bally Manufacturing Corporation|Unknown|1|EM|Pageantry
Beach Time|Bally Manufacturing Corporation|Unknown|1|EM|Beach - Swimming
Beacon|Stoner Manufacturing Company|December, 1934|1|EM|Flying - Airplanes
Beam-Lite|Chicago Coin Machine Manufacturing Company|March 28, 1935|1|EM|Unknown
Beam-Lite Of '37|Chicago Coin Machine Manufacturing Company|October 11, 1937|1|EM|Unknown
Beano|Exhibit Supply Company|February, 1936|1|EM|Unknown
Beat 'Em|Western Equipment &amp; Supply Company|January, 1937|1|EM|Unknown
Beat Aces|Monte Carlo Amusement Company|1935|1|EM|Playing Cards
Beat the Clock|Bally Midway Manufacturing Company|November, 1985|4|SS|Unknown
Beat the Clock|Williams Electronic Manufacturing Company|December 23, 1963|1|EM|Sports - Racing
Beat the Clock|Bally Wulff|1985|4|SS|Sports - Competition
Beat Time|Williams Electronics, Incorporated|September 08, 1967|2|EM|Happiness - Music
Beatem|V. P. Distributing Company|1944|1|EM|Unknown
Beatniks|Chicago Coin Machine Manufacturing Company|January, 1967|2|EM|Music - Dancing
Beatniks|Chicago Coin Machine Manufacturing Company|1967|2|EM|Music - Dancing
Beauty|Bally Manufacturing Corporation|May, 1940|1|EM|Unknown
Beauty Beach|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Beauty Contest|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Beauty Queens|Bally Manufacturing Corporation|February, 1960|1|EM|Unknown
Bebop|Block Marble Company|Unknown|1|EM|Music - Singing
Bee Jay|Pacific Amusement Manufacturing Company|November, 1936|1|EM|Unknown
Beisbol|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Sports - Baseball
Bell Ringer|Premier Technology|December, 1990|4|SS|Circus/Carnival
Bell Skill|A.B.C. Coin Machine Company|1932|1|Unknown|Unknown
Bell-Ball|Reisinger Machine Works, Incorporated|April, 1932|1|ME|Unknown
Belle Hop|D. Gottlieb &amp; Company|May, 1941|1|EM|Unknown
Bells|California Exhibit Company|September, 1935|1|EM|Unknown
Belmont|Bally Manufacturing Corporation|November, 1936|1|EM|Unknown
Ben Hur|Staal Society|1977|4|SS|Fictional Characters - World Places
Ben Hur|Pace Manufacturing Company Incorporated|February, 1933|1|ME|Unknown
Berlin Or Bust|Advertising Craft Ltd.|Unknown|1|ME|Aviation - Combat - Military - Historical - Wartime - Warfare - World War II
Bermuda|Chicago Coin Machine Manufacturing Company|November 16, 1947|1|EM|World Places
Bermuda Roll Down|Chicago Coin Machine Manufacturing Company|January 13, 1948|1|EM|World Places
Best Bet|Victory Sales Company|1947|1|EM|Sports - Horse Racing
Betcha Ball|Zenith Manufacturing Company|April, 1932|1|ME|Unknown
BI-JA-Roul||Unknown|1|ME|Unknown
Big Bang Bar|Pinball Manufacturing Inc., a division of Illinois Pinball Inc.|June, 2007|4|SS|Outer Space - Reproduction
Big Bang Bar|Capcom Coin-Op, Incorporated|June, 1996|4|SS|Outer Space
Big Bank-Nite|Rock-ola Manufacturing Corporation|August, 1936|1|EM|Movies - Night Life - Theaters
Big Bat|Bally Midway Manufacturing Company|own|Unknown|SS|Sports - Baseball
Big Ben|Hawtins|July, 1946|1|EM|Unknown
Big Ben|Williams Manufacturing Company|May 18, 1954|1|EM|World Places - Landmarks
Big Ben|Segasa|1975|1|EM|World Places - Landmarks
Big Ben|Williams Electronics, Incorporated|April 09, 1975|1|EM|World Places - Landmarks
Big Ben|Daval Mfg Company Incorporated, G.B.|February, 1936|1|EM|Unknown
Big Bend|Pasini|Unknown|1|EM|Unknown
Big Boy|Bally Manufacturing Corporation|1935|1|EM|Unknown
Big Boy|Snicker Table Company|June, 1931|1|ME|Unknown
Big Brave|D. Gottlieb &amp; Company|June, 1974|2|EM|American West
Big Brave|Bensa|1974|1|EM|Native Americans
Big Brave|Maquinas Recreativas Sociedad Anonima|Unknown|2|EM|American West
Big Broadcast|Bingo Novelty Manufacturing Company|February, 1933|1|ME|Unknown
Big Broadcast (Junior)|D. Gottlieb &amp; Company|January, 1933|1|ME|Unknown
Big Broadcast (Special)|D. Gottlieb &amp; Company|March, 1933|1|ME|Unknown
Big Broadcast (Sr)|D. Gottlieb &amp; Company|February, 1933|1|ME|Unknown
Big Brother|Daval Mfg Company Incorporated, G.B.|August, 1934|1|EM|Unknown
Big Buck Hunter Pro|Stern Pinball, Incorporated|January, 2010|4|SS|Hunting - Licensed Theme - Animals
Big Casino|Chicago Coin Machine Manufacturing Company|February 14, 1936|1|EM|Casino - Gambling
Big Casino|D. Gottlieb &amp; Company|July, 1961|1|EM|Playing Cards
Big Champ|Alben|1964|1|EM|Sports - Boxing
Big Chief|Genco Manufacturing Company|November, 1940|1|EM|Native Americans - Warriors
Big Chief|Williams Electronic Manufacturing Company|September 23, 1965|4|EM|Native Americans
Big Chief|Bally Manufacturing Corporation|1932|1|Unknown|Unknown
Big Daddy|Williams Electronic Manufacturing Company|September 16, 1963|1|EM|Unknown
Big Day|Bally Manufacturing Corporation|August, 1964|4|EM|Celebration - Music - Dancing
Big Deal|Williams Electronics, Incorporated|May, 1977|4|EM|Cards/Gambling
Big Deal|Williams Electronic Manufacturing Company|February 07, 1963|1|EM|Cards/Gambling
Big Dick||Unknown|1|EM|Adult
Big Dryvers|Mondialmatic|1979|1|EM|Horse Racing
Big Eagle|Unknown Manufacturer|Unknown|4|SS|Fantasy
Big Eagle|Jacques Martina|1968|4|EM|Military Aircraft
Big Fair|Talleres del Llobregat S.A. [Automaticos]|Unknown|1|EM|Fair
Big Five|J. H. Keeney and Company Incorporated|January, 1936|1|EM|Unknown
Big Flipper|Chicago Coin Machine Manufacturing Company|January 10, 1970|2|EM|Circus/Carnival
Big Game|Stern Electronics, Incorporated|March, 1980|4|SS|Hunting - Safari
Big Game|Rock-ola Manufacturing Corporation|July, 1935|1|EM|Unknown
Big Guns|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|October, 1987|4|SS|Space Medieval
Big Guns|Universal de Desarrollos Electronicos, S.A.|Unknown|4|SS|Unknown
Big Handicap|Bally Manufacturing Corporation|1948|1|EM|Horse Racing
Big Healey||1996|2|EM|Car Culture
Big Hit|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|March, 1977|1|EM|Sports - Baseball
Big Hit|Chicago Coin Machine Manufacturing Company|July, 1952|1|EM|Sports - Baseball
Big Hit|Exhibit Supply Company|February, 1946|1|EM|Girls - Glamour - Pageantry - Women
Big Hit|Chicago Coin Machine Manufacturing Company|October, 1962|1|EM|Sports - Baseball
Big Horse|Maquinas Recreativas Sociedad Anonima|1975|1|EM|Unknown
Big House|Premier Technology|April, 1989|4|SS|Cops and Robbers
Big Hunt|A.M.I|1976|1|EM|American West
Big Indian|Unknown Manufacturer|Unknown|1|EM|American West - Native Americans
Big Indian|D. Gottlieb &amp; Company|February, 1974|4|EM|American West - Native Americans
Big Inning|Bally Manufacturing Corporation|1947|1|EM|Sports - Baseball
Big Inning|Bally Manufacturing Corporation|Unknown|2|EM|Sports - Baseball
Big Inning (Chicago Model)|Williams Electronic Manufacturing Company|1963|1|EM|Sports - Baseball
Big Inning (New York Model)|Williams Electronic Manufacturing Company|March, 1963|1|EM|Sports - Baseball
Big Jack|D. Gottlieb &amp; Company|October, 1968|2|EM|Fantasy - Myth and Legend
Big Kick|Sega Enterprises, Ltd.|January, 1978|1|SS|Dancing - Girls - Happiness - Music - Nightlife - Women
Big League|Bally Manufacturing Corporation|Unknown|1|EM|Sports - Baseball
Big League|Chicago Coin Machine Manufacturing Company|1975|2|SS|Sports - Baseball
Big League|Genco Manufacturing Company|February, 1940|1|EM|Sports - Baseball
Big League|Williams Electronic Manufacturing Company|March, 1966|2|EM|Sports - Baseball
Big League Baseball|Williams Manufacturing Company|1954|1|EM|Unknown
Big League Baseball|Chicago Coin Machine Manufacturing Company|April, 1965|2|EM|Sports - Baseball
Big League Baseball|Chicago Coin Machine Manufacturing Company|May, 1955|4|EM|Unknown
Big Leaguer|Pacific Amusement Manufacturing Company|June, 1935|1|EM|Unknown
Big Leaguer|American Scale Manufacturing Company|August, 1933|1|ME|Unknown
Big Little Joker|Bridget Manufacturing Company|February, 1932|1|ME|Unknown
Big Parade|Exhibit Supply Company|November, 1941|1|EM|Military - Parades - Patriotic
Big Parlay|J. H. Keeney and Company Incorporated|February, 1947|1|EM|Sports - Horse Racing
Big Prize|Western Products, Incorporated|May, 1940|1|EM|Unknown
Big Race|Mills Novelty Company|November, 1937|1|EM|Unknown
Big Richard|Exhibit Supply Company|January 25, 1936|1|EM|Unknown
Big Rig|The Henry W.T. Mali &amp; Co., Inc.|1977|1|Unknown|Unknown
Big Round Up|Shyvers Coin Automatic Machine Company|January, 1934|1|ME|Unknown
Big Round-Up|J. H. Keeney and Company Incorporated|Unknown|1|EM|Western
Big Sakem|Ripepi|1974|1|EM|American West - Native Americans
Big Shot|Gotham Pressed Steel Corporation|1937|1|ME|Unknown
Big Shot|Exhibit Supply Company|1934|1|EM|Unknown
Big Shot|D. Gottlieb &amp; Company|August, 1973|2|EM|Billiards
Big Shot|Hercules Novelty Company, Incorporated|May, 1932|1|ME|Unknown
Big Shot|A.B.T. Manufacturing Company|March, 1936|1|EM|Unknown
